survey,item,variable,values,Woo,Allemang
kgss,income7,sexrole2,c(7:1),1,1
wvs_combo,independence5,d072,c(5:1),1,4
wvs4_swe,independence5,iv88,c(5:1),1,4
arabb2,inheritance4,q60109,c(4:1),1,1
arabb4,inheritance4,q6014,c(4:1),1,1
tcmeg2004,inheritance5a,m710u,c(5:1),1,1
tcmeg2004,inheritance5b,m710t,c(5:1),1,1
arabb1,islamclass4,q5044,c(4:1),4,1
arabb4,islamclass4,q6074,c(4:1),4,1
wvs_combo,islamclass5,f165,c(1:5),4,1
evs_combo,job3a,c001,c(1,3,2),1,1
wvs_combo,job3a,c001,c(1,3,2),1,1
wvs4_swe,job3a,v78,c(1:3),1,1
pew2010,job4,q69c,c(1:4),1,1
pew2012,job4,q86b,c(1:4),1,1
pewrel2006_10nat,job4,q27a,c(1:4),1,1
pewrel2009_afr,job4,q11d,c(1:4),1,1
pewrel2014_latam,job4,q19d,c(1:4),1,1
pewrel2015_ee,job4,q16c,c(1:4),1,1
allbus,job4a,fr06,c(1:4),1,1
wvs7,job5,q33,c(1:5),1,1
evs_combo,jobinde4,d063,c(4:1),1,1
wvs_combo,jobinde4,d063,c(4:1),1,1
jgss,jobinde4,q4wnjb2l,c(4:1),1,1
issp1988,jobinde5,v10,c(5:1),1,1
issp1994,jobinde5,v9,c(5:1),1,1
issp2002,jobinde5,v9,c(5:1),1,1
kgss,jobinde5,fejobind,c(5:1),1,1
usgss,jobinde5,fejobind,c(5:1),1,1
nsss1989,jobinde5,wwkindep,c(5:1),1,1
aes1996,jobpref5,e5pref,c(5:1),1,1
aes1998,jobpref5,e6pref,c(5:1),1,1
aes2001,jobpref5,e4pref,c(5:1),1,1
aes2004,jobpref5,e4pref,c(5:1),1,1
aes2010,jobpref5,e4pref,c(5:1),1,1
nsss_combo,jobpref5,affactw2,c(5:1),,
amb_combo,jobs7,gen1,c(7:1),,
amb_us2012,jobs7,gen1,c(7:1),,
tcmeg2004,judicial5,m710v,c(5:1),1,1
tcmeg2004,lawmarry5,m710y,c(5:1),4,4
tcmeg2004,lawveil5,m710r,c(1:5),4,4
usgss,limjob2,feworkif,c(2:1),1,3
evs_combo,manchildren5,d020,c(1:5),2,2
jgss,marrihap4,q4wnmga,c(1:4),1,2
tcmeg2004,marrynon5,m710n,c(5:1),1,2
tcmeg2004,marryright5,m710s,c(5:1),1,2
issp1994,maternity5,v42,c(5:1),1,3
issp2002,maternity5,v27,c(5:1),1,3
